id,Caracteristica asignada,Justificación
1020,Eficacia,"La comunicación se dificulta al no poder compartir información mediante imágenes, haciendo posible que se omitan detalles importantes"
1021,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1022,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1023,Ausencia de riesgo,"El congelamiento del sistema al intentar adjuntar resultados clínicos genera un riesgo grave de pérdida de información médica vital. Esto puede derivar en diagnósticos o tratamientos erróneos, comprometiendo directamente la seguridad y salud del paciente."
1024,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1025,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1026,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1027,Ausencia de riesgo,"Un error al reagendar una cita previamente confirmada puede provocar la pérdida de la atención médica. Esto genera un riesgo para la salud del paciente debido a retrasos en su tratamiento, además de posibles contingencias administrativas."
1028,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1029,Eficacia,El médico no podrá realizar diagnósticos precisos debido a la falta de información sobre el paciente.
1030,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1031,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1032,Eficiencia,"Hay un mal manejo del recurso del tiempo, causando un retraso en las actividades del personal"
1033,Ausencia de riesgo,Este problema crea un riesgo de pérdida económica para el paciente.
1034,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1035,Ausencia de riesgo,La discrepancia crea el riesgo de pérdidas económicas o ganancias mal declaradas.
1036,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1037,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1038,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1039,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1040,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1041,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1042,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1043,Ausencia de riesgo,La discrepancia crea el riesgo de pérdidas económicas o ganancias mal declaradas.
1044,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1045,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1046,Ausencia de riesgo,"El congelamiento del sistema al intentar adjuntar resultados clínicos genera un riesgo grave de pérdida de información médica vital. Esto puede derivar en diagnósticos o tratamientos erróneos, comprometiendo directamente la seguridad y salud del paciente."
1047,Eficacia,El sistema no permite al paciente cumplir el objetivo de ser notificado por el hospital
1048,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1049,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1050,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1051,Eficacia,El sistema falla en el grado de completitud de la tarea al no generar el documento médico tras la cita.
1052,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1053,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1054,Ausencia de riesgo,Esto constituye un riesgo de salud para el paciente ya que los farmaceúticos pueden vender medicamentos caducados sin saberlo.
1055,Ausencia de riesgo,Esto constituye un riesgo de salud para el paciente ya que los farmaceúticos pueden vender medicamentos caducados sin saberlo.
1056,Eficiencia,"Hay un mal manejo del recurso del tiempo, causando un retraso en las actividades del personal"
1057,Ausencia de riesgo,"Al no validarse la firma electrónica, se compromete la legalidad y autenticidad del registro clínico. Esto genera un riesgo regulatorio, legal y de seguridad de la información directo para el centro médico y el paciente."
1058,Ausencia de riesgo,"Un error al reagendar una cita previamente confirmada puede provocar la pérdida de la atención médica. Esto genera un riesgo para la salud del paciente debido a retrasos en su tratamiento, además de posibles contingencias administrativas."
1059,Satisfacción,El paciente termina con una sensación negativa al final de la cita
1060,Eficacia,El sistema no permite al paciente cumplir el objetivo de ser notificado por el hospital
1061,Ausencia de riesgo,Esto constituye un riesgo de salud para el paciente ya que los farmaceúticos pueden vender medicamentos caducados sin saberlo.
1062,Eficacia,"Al no actualizarse de forma automática, el sistema entrega información desactualizada. Esto impide que la Gerencia logre su objetivo de analizar la ocupación hospitalaria real con precisión para la toma de decisiones."
1063,Eficacia,El médico no podrá realizar diagnósticos precisos debido a la falta de información sobre el paciente.
1064,Eficacia,"El sistema falla en la precisión y completitud de la transacción financiera al no aplicar la nota de crédito. Esto impide que el paciente alcance su objetivo de regularizar su saldo, afectando directamente la exactitud de su estado de cuenta."
1065,Ausencia de riesgo,Esto constituye un riesgo de salud para el paciente ya que los farmaceúticos pueden vender medicamentos caducados sin saberlo.
1066,Eficiencia,El personal debe esperar demasiado durante las interacciones con el sistema
1067,Ausencia de riesgo,Esto constituye un riesgo de salud para el paciente ya que los farmaceúticos pueden vender medicamentos caducados sin saberlo.
1068,Ausencia de riesgo,Esto constituye un riesgo de salud para el paciente ya que los farmaceúticos pueden vender medicamentos caducados sin saberlo.
1069,Ausencia de riesgo,Esto constituye un riesgo de salud para el paciente ya que los farmaceúticos pueden vender medicamentos caducados sin saberlo.
1070,Ausencia de riesgo,Esto constituye un riesgo de salud para el paciente ya que los farmaceúticos pueden vender medicamentos caducados sin saberlo.
1071,Ausencia de riesgo,Este fallo amenaza la salud del paciente al recibir dosis incorrectas de medicamentos
1072,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1073,Ausencia de riesgo,Esto constituye un riesgo de salud para el paciente ya que los farmaceúticos pueden vender medicamentos caducados sin saberlo.
1074,Ausencia de riesgo,Esto constituye un riesgo de salud para el paciente ya que los farmaceúticos pueden vender medicamentos caducados sin saberlo.
1075,Ausencia de riesgo,Esto constituye un riesgo de salud para el paciente ya que los farmaceúticos pueden vender medicamentos caducados sin saberlo.
1076,Ausencia de riesgo,Esto constituye un riesgo de salud para el paciente ya que los farmaceúticos pueden vender medicamentos caducados sin saberlo.
1077,Ausencia de riesgo,Esto constituye un riesgo de salud para el paciente ya que los farmaceúticos pueden vender medicamentos caducados sin saberlo.
1078,Ausencia de riesgo,Esto constituye un riesgo de salud para el paciente ya que los farmaceúticos pueden vender medicamentos caducados sin saberlo.
1079,Ausencia de riesgo,Esto constituye un riesgo de salud para el paciente ya que los farmaceúticos pueden vender medicamentos caducados sin saberlo.
1080,Ausencia de riesgo,Esto constituye un riesgo de salud para el paciente ya que los farmaceúticos pueden vender medicamentos caducados sin saberlo.
1081,Ausencia de riesgo,Esto constituye un riesgo de salud para el paciente ya que los farmaceúticos pueden vender medicamentos caducados sin saberlo.
1082,Eficacia,El usuario no logra cumplir con su objetivo de agendar una cita.
1083,Ausencia de riesgo,Esto constituye un riesgo de salud para el paciente ya que los farmaceúticos pueden vender medicamentos caducados sin saberlo.
1084,Ausencia de riesgo,Esto constituye un riesgo de salud para el paciente ya que los farmaceúticos pueden vender medicamentos caducados sin saberlo.
1085,Ausencia de riesgo,Esto constituye un riesgo de salud para el paciente ya que los farmaceúticos pueden vender medicamentos caducados sin saberlo.
1086,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1087,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1088,Ausencia de riesgo,Se genera un riesgo de pérdida económica para los usuarios.
1089,Satisfacción,El paciente termina con una sensación negativa al final de la cita
1090,Eficacia,"El cierre prematuro de la sesión impide que el médico logre su objetivo de completar y registrar la atención clínica. Esto afecta de manera directa el grado de completitud de la tarea, impidiendo finalizar el flujo correctamente."
1091,Ausencia de riesgo,"Un error al reagendar una cita previamente confirmada puede provocar la pérdida de la atención médica. Esto genera un riesgo para la salud del paciente debido a retrasos en su tratamiento, además de posibles contingencias administrativas."
1092,Eficacia,"El sistema carece de precisión al generar un documento con datos erróneos. Esto impide que el personal de admisión cumpla su objetivo de emitir un comprobante válido y exacto, afectando la efectividad de la gestión administrativa."
1093,Eficacia,No se puede cumplir con el objetivo de visualizar los datos actualizados.
1094,Satisfacción,Las fallas en el audio complican la comunicación y hacen que la teleconsulta se vuelva confusa y frustrante para ambas partes
1095,Satisfacción,Las fallas en el audio complican la comunicación y hacen que la teleconsulta se vuelva confusa y frustrante para ambas partes
1096,Satisfacción,Las fallas en el audio complican la comunicación y hacen que la teleconsulta se vuelva confusa y frustrante para ambas partes
1097,Satisfacción,Las fallas en el audio complican la comunicación y hacen que la teleconsulta se vuelva confusa y frustrante para ambas partes
1098,Cobertura de contexto,La calidad de las imágenes es distinta entre la web y la app móvil.
1099,Satisfacción,Las fallas en el audio complican la comunicación y hacen que la teleconsulta se vuelva confusa y frustrante para ambas partes
1100,Satisfacción,Las fallas en el audio complican la comunicación y hacen que la teleconsulta se vuelva confusa y frustrante para ambas partes
1101,Satisfacción,Las fallas en el audio complican la comunicación y hacen que la teleconsulta se vuelva confusa y frustrante para ambas partes
1102,Satisfacción,Las fallas en el audio complican la comunicación y hacen que la teleconsulta se vuelva confusa y frustrante para ambas partes
1103,Satisfacción,Las fallas en el audio complican la comunicación y hacen que la teleconsulta se vuelva confusa y frustrante para ambas partes
1104,Satisfacción,Las fallas en el audio complican la comunicación y hacen que la teleconsulta se vuelva confusa y frustrante para ambas partes
1105,Ausencia de riesgo,La expiración prematura de la sesión genera un riesgo directo de pérdida de los datos ya ingresados.
1106,Satisfacción,Las fallas en el audio complican la comunicación y hacen que la teleconsulta se vuelva confusa y frustrante para ambas partes
1107,Satisfacción,Las fallas en el audio complican la comunicación y hacen que la teleconsulta se vuelva confusa y frustrante para ambas partes
1108,Satisfacción,Las fallas en el audio complican la comunicación y hacen que la teleconsulta se vuelva confusa y frustrante para ambas partes
1109,Satisfacción,Las fallas en el audio complican la comunicación y hacen que la teleconsulta se vuelva confusa y frustrante para ambas partes
1110,Ausencia de riesgo,Se genera un riesgo de pérdida económica para los usuarios.
1111,Satisfacción,Las fallas en el audio complican la comunicación y hacen que la teleconsulta se vuelva confusa y frustrante para ambas partes
1112,Satisfacción,Las fallas en el audio complican la comunicación y hacen que la teleconsulta se vuelva confusa y frustrante para ambas partes
1113,Satisfacción,Las fallas en el audio complican la comunicación y hacen que la teleconsulta se vuelva confusa y frustrante para ambas partes
1114,Satisfacción,Las fallas en el audio complican la comunicación y hacen que la teleconsulta se vuelva confusa y frustrante para ambas partes
1115,Satisfacción,Las fallas en el audio complican la comunicación y hacen que la teleconsulta se vuelva confusa y frustrante para ambas partes
1116,Satisfacción,Las fallas en el audio complican la comunicación y hacen que la teleconsulta se vuelva confusa y frustrante para ambas partes
1117,Satisfacción,Las fallas en el audio complican la comunicación y hacen que la teleconsulta se vuelva confusa y frustrante para ambas partes
1118,Eficiencia,Las fallas en el audio complican la comunicación y hacen que la teleconsulta se vuelva confusa y frustrante para ambas partes
1119,Satisfacción,Las fallas en el audio complican la comunicación y hacen que la teleconsulta se vuelva confusa y frustrante para ambas partes
1120,Satisfacción,Las fallas en el audio complican la comunicación y hacen que la teleconsulta se vuelva confusa y frustrante para ambas partes
1121,Satisfacción,Las fallas en el audio complican la comunicación y hacen que la teleconsulta se vuelva confusa y frustrante para ambas partes
1122,Satisfacción,Las fallas en el audio complican la comunicación y hacen que la teleconsulta se vuelva confusa y frustrante para ambas partes
1123,Satisfacción,Las fallas en el audio complican la comunicación y hacen que la teleconsulta se vuelva confusa y frustrante para ambas partes
1124,Eficacia,"El cierre prematuro de la sesión impide que el médico logre su objetivo de completar y registrar la atención clínica. Esto afecta de manera directa el grado de completitud de la tarea, impidiendo finalizar el flujo correctamente."
1125,Eficacia,"Sin el informe, el HCE falla en tener información completa del paciente"
1126,Ausencia de riesgo,Este problema crea un riesgo de pérdida económica para el paciente.
1127,Satisfacción,Las fallas en el audio complican la comunicación y hacen que la teleconsulta se vuelva confusa y frustrante para ambas partes
1128,Ausencia de riesgo,"Un error al reagendar una cita previamente confirmada puede provocar la pérdida de la atención médica. Esto genera un riesgo para la salud del paciente debido a retrasos en su tratamiento, además de posibles contingencias administrativas."
1129,Eficiencia,"Hay un mal manejo del recurso del tiempo, causando un retraso en las actividades del personal"
1130,Eficiencia,"El sistema logra procesar la solictud, pero el tiempo invertido afecta negativamente el rendimiento y la experiencia esperada."
1131,Eficacia,"La caída del módulo impide finalizar el proceso financiero, lo que resulta en un grado de completitud nulo para la tarea y bloquea por completo el objetivo del usuario."
1132,Eficiencia,"El tiempo que se debe esperar para obtener el reporte es excesivo, haciendo que las evaluaciones y toma de decisiones se retrasen."
1133,Satisfacción,La interacción fallida resulta frustrante para los usuarios
1134,Satisfacción,La interacción fallida resulta frustrante para los usuarios
1135,Satisfacción,La interacción fallida resulta frustrante para los usuarios
1136,Satisfacción,La interacción fallida resulta frustrante para los usuarios
1137,Satisfacción,La interacción fallida resulta frustrante para los usuarios
1138,Satisfacción,Esta situación resultará en la frustración de ambas partes y el abandono del sistema
1139,Satisfacción,El paciente termina con una sensación negativa al final de la cita
1140,Eficacia,El sistema no permite al paciente cumplir el objetivo de ser notificado por el hospital
1141,Eficacia,"Al no actualizarse de forma automática, el sistema entrega información desactualizada. Esto impide que la Gerencia logre su objetivo de analizar la ocupación hospitalaria real con precisión para la toma de decisiones."
1142,Ausencia de riesgo,Este fallo amenaza la salud del paciente al recibir dosis incorrectas de medicamentos
1143,Satisfacción,La interacción fallida resulta frustrante para los usuarios
1144,Satisfacción,La interacción fallida resulta frustrante para los usuarios
1145,Satisfacción,La interacción fallida resulta frustrante para los usuarios
1146,Satisfacción,La interacción fallida resulta frustrante para los usuarios
1147,Satisfacción,La interacción fallida resulta frustrante para los usuarios
1148,Eficacia,El sistema no permite al paciente cumplir el objetivo de ser notificado por el hospital
1149,Eficiencia,"Hay un mal manejo del recurso del tiempo, causando un retraso en las actividades del personal"
1150,Eficacia,Este problema complica el trabajo de los laboratoristas
1151,Eficacia,"Al no actualizarse de forma automática, el sistema entrega información desactualizada. Esto impide que la Gerencia logre su objetivo de analizar la ocupación hospitalaria real con precisión para la toma de decisiones."
1152,Satisfacción,La interacción fallida resulta frustrante para los usuarios
1153,Ausencia de riesgo,"Un error al reagendar una cita previamente confirmada puede provocar la pérdida de la atención médica. Esto genera un riesgo para la salud del paciente debido a retrasos en su tratamiento, además de posibles contingencias administrativas."
1154,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1155,Libertad de Riesgo,Los códigos duplicados pueden ocasionar que un paciente reciba una dosis menor o mayor de la necesaria
1156,Satisfacción,La interacción fallida resulta frustrante para los usuarios
1157,Eficacia,"Sin el informe, el HCE falla en tener información completa del paciente"
1158,Satisfacción,La interacción fallida resulta frustrante para los usuarios
1159,Ausencia de riesgo,"Al no validarse la firma electrónica, se compromete la legalidad y autenticidad del registro clínico. Esto genera un riesgo regulatorio, legal y de seguridad de la información directo para el centro médico y el paciente."
1160,Satisfacción,La interacción fallida resulta frustrante para los usuarios
1161,Eficacia,"El cierre prematuro de la sesión impide que el médico logre su objetivo de completar y registrar la atención clínica. Esto afecta de manera directa el grado de completitud de la tarea, impidiendo finalizar el flujo correctamente."
1162,Eficacia,"Al no actualizarse de forma automática, el sistema entrega información desactualizada. Esto impide que la Gerencia logre su objetivo de analizar la ocupación hospitalaria real con precisión para la toma de decisiones."
1163,Satisfacción,La interacción fallida resulta frustrante para los usuarios
1164,Eficacia,"El cierre prematuro de la sesión impide que el médico logre su objetivo de completar y registrar la atención clínica. Esto afecta de manera directa el grado de completitud de la tarea, impidiendo finalizar el flujo correctamente."
1165,Satisfacción,La interacción fallida resulta frustrante para los usuarios
1166,Eficiencia,"Hay un mal manejo del recurso del tiempo, causando un retraso en las actividades del personal"
1167,Satisfacción,Esta situación resultará en la frustración de ambas partes y el abandono del sistema
1168,Ausencia de riesgo,Este fallo amenaza la salud del paciente al recibir dosis incorrectas de medicamentos
1169,Satisfacción,Esta situación resultará en la frustración de ambas partes y el abandono del sistema
1170,Ausencia de riesgo,Este fallo amenaza la salud del paciente al recibir dosis incorrectas de medicamentos
1171,Satisfacción,Esta situación resultará en la frustración de ambas partes y el abandono del sistema
1172,Satisfacción,Esta situación resultará en la frustración de ambas partes y el abandono del sistema
1173,Satisfacción,Esta situación resultará en la frustración de ambas partes y el abandono del sistema
1174,Satisfacción,Esta situación resultará en la frustración de ambas partes y el abandono del sistema
1175,Satisfacción,Esta situación resultará en la frustración de ambas partes y el abandono del sistema
1176,Ausencia de riesgo,Este fallo amenaza la salud del paciente al recibir dosis incorrectas de medicamentos
1177,Satisfacción,Esta situación resultará en la frustración de ambas partes y el abandono del sistema
1178,Satisfacción,Esta situación resultará en la frustración de ambas partes y el abandono del sistema
1179,Eficacia,Este problema complica el trabajo de los laboratoristas
1180,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1181,Satisfacción,Esta situación resultará en la frustración de ambas partes y el abandono del sistema
1182,Eficacia,"La imposibilidad de cargar las imágenes en el visor impide totalmente que el médico alcance su objetivo de revisar los estudios para emitir un diagnóstico. Al no poder visualizar la información clínica, la efectividad de la tarea es nula."
1183,Eficacia,Este problema complica el trabajo de los laboratoristas
1184,Eficacia,"El sistema falla en la precisión y exactitud al crear un registro duplicado para un paciente ya existente. Esto impide que el personal cumpla su objetivo, afectando negativamente la completitud de la tarea."
1185,Eficiencia,"Hay un mal manejo del recurso del tiempo, causando un retraso en las actividades del personal"
1186,Eficiencia,"Existe un mal manejo de recursos que ocasiona que el sistema no responda en un tiempo adecuado, y retrasa el flujo de consultas."
1187,Eficacia,"La imposibilidad de visualizar los resultados en el formato establecido (PDF) impide que el paciente alcance su objetivo específico de leer y descargar su información médica, anulando el grado de completitud de la tarea."
1188,Eficacia,El sistema no permite cumplir el objetivo de ver antecedentes del paciente en consultas anteriores
1189,Cobertura de contexto,La calidad de las imágenes es distinta entre la web y la app móvil.
1190,Eficacia,La imposibilidad de actualizar el número de contacto impide que el paciente logre su objetivo de mantener su información personal al día. Esto anula la completitud de la tarea y afecta la exactitud de la base de datos del hospital.
1191,Satisfacción,Esta situación resultará en la frustración de ambas partes y el abandono del sistema
1192,Ausencia de riesgo,Este fallo amenaza la salud del paciente al recibir dosis incorrectas de medicamentos
1193,Eficacia,"El sistema falla en la precisión de la transacción, ya que el pago realizado no se registra. Esto impide que el paciente alcance el objetivo de confirmar exitosamente su consulta."
1194,Eficiencia,"Hay un mal manejo del recurso del tiempo, causando un retraso en las actividades del personal"
1195,Eficacia,No se cumple el objetivo de liberar el cupo para otras citas
1196,Eficacia,No se cumple el objetivo de liberar el cupo para otras citas
1197,Eficacia,No se cumple el objetivo de liberar el cupo para otras citas
1198,Eficacia,No se cumple el objetivo de liberar el cupo para otras citas
1199,Eficacia,No se cumple el objetivo de liberar el cupo para otras citas
1200,Eficacia,No se cumple el objetivo de liberar el cupo para otras citas
1201,Eficacia,No se cumple el objetivo de liberar el cupo para otras citas
1202,Cobertura de contexto,La calidad de las imágenes es distinta entre la web y la app móvil.
1203,Ausencia de riesgo,Este problema pone en riesgo la salud del paciente al permitir que se administre una dosis incorrecta.
1204,Eficacia,El médico no podrá realizar diagnósticos precisos debido a la falta de información sobre el paciente.
1205,Eficacia,"Sin el informe, el HCE falla en tener información completa del paciente"
1206,Eficacia,No se cumple el objetivo de liberar el cupo para otras citas
1207,Eficacia,"El sistema carece de precisión al permitir la asignación de un mismo turno a dos personas simultáneamente. Esto impide que al personal su objetivo de gestionar la agenda médica de forma correcta, generando un flujo de trabajo con datos inconsistentes."
1208,Eficacia,No se cumple el objetivo de liberar el cupo para otras citas
1209,Eficacia,No se cumple el objetivo de liberar el cupo para otras citas
1210,Eficacia,No se cumple el objetivo de liberar el cupo para otras citas
1211,Eficacia,No se cumple el objetivo de liberar el cupo para otras citas
1212,Eficacia,No se cumple el objetivo de liberar el cupo para otras citas
1213,Eficacia,No se cumple el objetivo de liberar el cupo para otras citas
1214,Eficacia,"Al no actualizarse de forma automática, el sistema entrega información desactualizada. Esto impide que la Gerencia logre su objetivo de analizar la ocupación hospitalaria real con precisión para la toma de decisiones."
1215,Eficacia,No se cumple el objetivo de liberar el cupo para otras citas
1216,Eficacia,No se cumple el objetivo de liberar el cupo para otras citas
1217,Eficacia,No se cumple el objetivo de liberar el cupo para otras citas
1218,Eficacia,No se cumple el objetivo de liberar el cupo para otras citas
1219,Eficacia,No se cumple el objetivo de liberar el cupo para otras citas
1220,Eficacia,No se cumple el objetivo de liberar el cupo para otras citas
1221,Eficacia,"Al no actualizarse de forma automática, el sistema entrega información desactualizada. Esto impide que la Gerencia logre su objetivo de analizar la ocupación hospitalaria real con precisión para la toma de decisiones."
1222,Eficacia,El especialista no puede cumplir el objetivo de ver sus citas pendientes
1223,Eficacia,"Sin el informe, el HCE falla en tener información completa del paciente"
1224,Eficacia,El especialista no puede cumplir el objetivo de ver sus citas pendientes
1225,Ausencia de riesgo,La expiración prematura de la sesión genera un riesgo directo de pérdida de los datos ya ingresados.
1226,Eficacia,El especialista no puede cumplir el objetivo de ver sus citas pendientes
1227,Eficacia,El especialista no puede cumplir el objetivo de ver sus citas pendientes
1228,Eficacia,El especialista no puede cumplir el objetivo de ver sus citas pendientes
1229,Eficacia,El especialista no puede cumplir el objetivo de ver sus citas pendientes
1230,Eficacia,Sin el reporte de laboratorio externo la información para los diagnósticos está incompleta y no se puede diagnosticar correctamente
1231,Eficacia,Este problema complica el trabajo de los laboratoristas
1232,Ausencia de riesgo,Se vulnera la privacidad del paciente al acceder a sus datos sin autorización
1233,Eficacia,El especialista no puede cumplir el objetivo de ver sus citas pendientes
1234,Eficacia,El especialista no puede cumplir el objetivo de ver sus citas pendientes
1235,Eficacia,El especialista no puede cumplir el objetivo de ver sus citas pendientes
1236,Eficacia,El especialista no puede cumplir el objetivo de ver sus citas pendientes
1237,Eficacia,El sistema carece de precisión y completitud al omitir una alerta crítica. Esto impide que el personal de cumpla su objetivo de administrar medicamentos de forma segura y validada.
1238,Eficacia,El especialista no puede cumplir el objetivo de ver sus citas pendientes
1239,Ausencia de riesgo,Este fallo amenaza la salud del paciente al recibir dosis incorrectas de medicamentos
1240,Eficacia,El especialista no puede cumplir el objetivo de ver sus citas pendientes
1241,Eficacia,El especialista no puede cumplir el objetivo de ver sus citas pendientes
1242,Libertad de Riesgo,Los códigos duplicados pueden ocasionar que un paciente reciba una dosis menor o mayor de la necesaria
1243,Eficacia,El especialista no puede cumplir el objetivo de ver sus citas pendientes
1244,Eficacia,El especialista no puede cumplir el objetivo de ver sus citas pendientes
1245,Eficacia,El sistema carece de precisión al mostrar datos de stock que difieren de la realidad física. Esto impide que el personal de farmacia alcance su objetivo de gestionar y auditar el inventario de manera exacta y confiable.
1246,Eficacia,El especialista no puede cumplir el objetivo de ver sus citas pendientes
1247,Eficacia,El especialista no puede cumplir el objetivo de ver sus citas pendientes
1248,Eficacia,
1249,Eficacia,El especialista no puede cumplir el objetivo de ver sus citas pendientes
1250,Eficacia,El médico no podrá realizar diagnósiticos precisos debido a la falta de información sobre el paciente.
1251,Eficacia,El especialista no puede cumplir el objetivo de ver sus citas pendientes
1252,Eficacia,El especialista no puede cumplir el objetivo de ver sus citas pendientes
1253,Eficacia,Este problema complica el trabajo de los laboratoristas
