id,fecha,modulo,descripcion,rol_usuario,sede,Caracteristica,palabras clave,Caracteristica asignada
3266,1/13/2025,Imagenologia,Perdida de calidad en las imagenes al ser visualizadas desde la app,Enfermeria,Ambato,,,Eficacia
3403,1/13/2025,HCE,Datos de otro paciente visibles brevemente al abrir un expediente,Medico,Guayaquil,,,Ausencia de riesgo
3806,1/13/2025,HCE,Datos de otro paciente visibles brevemente al abrir un expediente,Medico,Ambato,,,Ausencia de riesgo
3861,1/13/2025,Laboratorio,El sistema no permite adjuntar el reporte en PDF del laboratorio externo,Enfermeria,Ambato,,,Eficacia
3894,1/13/2025,Portal Citas,Doble reserva de un mismo cupo por dos pacientes distintos,Paciente,Quito,,,Eficacia
1702,1/14/2025,App Movil,Resultados de examenes no se visualizan en formato PDF,Paciente,Cuenca,,,Eficacia
1729,1/14/2025,HCE,Alerta de interaccion medicamentosa no se despliega correctamente,Medico,Quito,,,Eficacia
1739,1/14/2025,Facturacion,Factura duplicada al reintentar pago,Paciente,Cuenca,,,Eficacia
2410,1/14/2025,Telemedicina,Videollamada se corta a los 4 minutos,Paciente,Quito,,,Eficacia
2733,1/14/2025,App Movil,La aplicacion se cierra inesperadamente al abrir resultados de laboratorio,Paciente,Ambato,,,Ausencia de riesgo
2745,1/14/2025,Farmacia,Duplicidad de codigos entre dos presentaciones distintas de un mismo farmaco,Farmacia,Guayaquil,,,Eficacia
2766,1/14/2025,Portal Citas,Boton de confirmar cita no responde en dispositivos moviles,Admision,Manta,,,Satisfacción
2812,1/14/2025,HCE,Alerta de interaccion medicamentosa no se despliega correctamente,Enfermeria,Quito,,,Eficacia
2873,1/14/2025,Facturacion,Retraso de 10s al procesar el pago con tarjeta de credito,Paciente,Ambato,,,Eficiencia
2941,1/14/2025,HCE,Orden medica no se sincroniza con el modulo de farmacia,Medico,Guayaquil,,,Eficacia
3795,1/14/2025,Telemedicina,El chat de la consulta no permite enviar imagenes,Paciente,Manta,,,Eficacia
1358,1/15/2025,Portal Citas,El portal muestra disponibilidad para un horario ya ocupado,Paciente,Manta,,,Eficacia
1528,1/15/2025,Farmacia,Duplicidad de codigos entre dos presentaciones distintas de un mismo farmaco,Enfermeria,Guayaquil,,,Eficacia
1768,1/15/2025,Portal Citas,El sistema no envia la confirmacion por correo electronico,Paciente,Quito,,,Eficacia
2167,1/15/2025,HCE,Perdida de la nota de evolucion tras un cierre inesperado de sesion,Enfermeria,Guayaquil,,,Eficacia
3143,1/15/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Medico,Guayaquil,,,Eficacia
3148,1/15/2025,Facturacion,El sistema no reconoce el convenio con la aseguradora,Paciente,Guayaquil,,,Eficacia
1418,1/16/2025,Imagenologia,Las imagenes de rayos X no cargan en el visor DICOM,Enfermeria,Cuenca,,,Eficacia
1672,1/16/2025,HCE,Orden medica no se sincroniza con el modulo de farmacia,Enfermeria,Cuenca,,,Eficacia
2488,1/16/2025,Telemedicina,Paciente no puede unirse a la sala virtual a la hora agendada,Paciente,Quito,,,Eficacia
2549,1/16/2025,Telemedicina,El chat de la consulta no permite enviar imagenes,Paciente,Quito,,,Eficacia
3005,1/16/2025,Farmacia,Inventario del sistema no coincide con el stock fisico del insumo,Enfermeria,Ambato,,,Eficacia
3652,1/16/2025,Facturacion,Factura electronica no llega al correo registrado del paciente,Admision,Manta,,,Eficacia
3715,1/16/2025,Laboratorio,Orden de laboratorio duplicada tras reintentar el envio,Medico,Quito,,,Eficacia
3959,1/16/2025,Portal Citas,Cancelacion de cita no libera el cupo en el calendario,Paciente,Ambato,,,Eficacia
3983,1/16/2025,Facturacion,El sistema no reconoce el convenio con la aseguradora,Paciente,Quito,,,Eficacia
1080,1/17/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Medico,Ambato,,,Eficacia
1369,1/17/2025,HCE,El sistema se congela al adjuntar resultados de laboratorio a la HCE,Enfermeria,Guayaquil,,,Ausencia de riesgo
1744,1/17/2025,HCE,Alerta de interaccion medicamentosa no se despliega correctamente,Medico,Quito,,,Eficacia
2029,1/17/2025,Portal Citas,Doble reserva de un mismo cupo por dos pacientes distintos,Paciente,Ambato,,,Eficacia
1275,1/18/2025,Farmacia,Error al registrar la dispensacion de un medicamento controlado,Enfermeria,Cuenca,,,Ausencia de riesgo
1551,1/18/2025,Facturacion,Retraso de 21s al procesar el pago con tarjeta de credito,Admision,Quito,,,Eficiencia
2374,1/18/2025,Farmacia,El sistema no descuenta automaticamente el medicamento dispensado,Enfermeria,Ambato,,,Eficacia
2525,1/18/2025,Telemedicina,Paciente no puede unirse a la sala virtual a la hora agendada,Medico,Manta,,,Eficacia
3483,1/18/2025,HCE,Nota de evolucion tarda 24s en guardarse,Enfermeria,Quito,,,Eficiencia
3506,1/18/2025,Laboratorio,Codigo de barras de la muestra no es reconocido por el lector,Enfermeria,Manta,,,Eficacia
3650,1/18/2025,Portal Citas,Cancelacion de cita no libera el cupo en el calendario,Admision,Guayaquil,,,Eficacia
1073,1/19/2025,Portal Citas,Sesion expira antes de finalizar el proceso de agendamiento,Admision,Manta,,,Ausencia de riesgo
1457,1/19/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Enfermeria,Guayaquil,,,Eficacia
1617,1/19/2025,App Movil,Resultados de examenes no se visualizan en formato PDF,Paciente,Quito,,,Eficacia
1964,1/19/2025,Laboratorio,Resultado de examen de laboratorio no se sincroniza con la HCE,Enfermeria,Quito,,,Eficacia
2150,1/19/2025,HCE,Historial de alergias no carga al abrir la ficha del paciente,Medico,Cuenca,,,Eficacia
2255,1/19/2025,HCE,Firma electronica del medico no se valida al cerrar la consulta,Enfermeria,Manta,,,Ausencia de riesgo
2333,1/19/2025,Imagenologia,Las imagenes de rayos X no cargan en el visor DICOM,Enfermeria,Manta,,,Eficacia
2979,1/19/2025,Telemedicina,La sesion se cierra automaticamente antes de terminar la consulta,Medico,Guayaquil,,,Eficacia
2983,1/19/2025,HCE,El campo de diagnostico CIE-10 no permite busqueda por texto,Medico,Cuenca,,,Eficacia
3195,1/19/2025,Laboratorio,El sistema no permite adjuntar el reporte en PDF del laboratorio externo,Enfermeria,Cuenca,,,Eficacia
3495,1/19/2025,Facturacion,Factura electronica no llega al correo registrado del paciente,Admision,Quito,,,Eficacia
3498,1/19/2025,Portal Citas,Error al reagendar una cita previamente confirmada,Admision,Cuenca,,,Ausencia de riesgo
3568,1/19/2025,Farmacia,Alerta de vencimiento de lote no se muestra en el modulo,Farmacia,Cuenca,,,Eficacia
3727,1/19/2025,Portal Citas,El portal muestra disponibilidad para un horario ya ocupado,Paciente,Ambato,,,Eficacia
3948,1/19/2025,Facturacion,Nota de credito no se aplica al saldo pendiente del paciente,Admision,Quito,,,Eficacia
3956,1/19/2025,HCE,El sistema no permite adjuntar imagenes de heridas desde la tablet,Medico,Guayaquil,,,Cobertura de contexto
1890,1/20/2025,HCE,Nota de evolucion tarda 19s en guardarse,Medico,Guayaquil,,,Eficiencia
1948,1/20/2025,Facturacion,Factura generada con el nombre del paciente incorrecto,Paciente,Ambato,,,Eficacia
2602,1/20/2025,Portal Citas,Doble reserva de un mismo cupo por dos pacientes distintos,Paciente,Quito,,,Eficacia
2970,1/20/2025,Laboratorio,Resultado de examen de laboratorio no se sincroniza con la HCE,Enfermeria,Ambato,,,Eficacia
3442,1/20/2025,Laboratorio,Retraso de 29s en la disponibilidad de resultados criticos,Medico,Ambato,,,Eficiencia
1194,1/21/2025,Facturacion,Reintento de transaccion genera doble cobro en la tarjeta,Admision,Manta,,,Ausencia de riesgo
1294,1/21/2025,HCE,Duplicado de historia clinica al registrar un paciente ya existente,Enfermeria,Guayaquil,,,Eficacia
1553,1/21/2025,HCE,Receta electronica se genera con la dosis incorrecta tras guardar,Medico,Guayaquil,,,Ausencia de riesgo
2002,1/21/2025,Portal Citas,Usuario no logra agendar tras 2 intentos,Admision,Guayaquil,,,Eficacia
2843,1/21/2025,Portal Citas,"Formulario confuso, abandono de registro antes de completar la cita",Paciente,Guayaquil,,,Satisfacción
3261,1/21/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Enfermeria,Quito,,,Eficacia
1147,1/22/2025,Reportes Gerenciales,Discrepancia entre el reporte financiero y el modulo de facturacion,Gerencia,Quito,,,Ausencia de riesgo
2574,1/22/2025,Telemedicina,El medico no puede compartir pantalla con resultados de examenes,Paciente,Guayaquil,,,Eficacia
2612,1/22/2025,Laboratorio,Codigo de barras de la muestra no es reconocido por el lector,Enfermeria,Quito,,,Eficacia
2857,1/22/2025,Imagenologia,El informe radiologico no se adjunta automaticamente a la HCE,Medico,Quito,,,Eficacia
3699,1/22/2025,Facturacion,Factura electronica no llega al correo registrado del paciente,Admision,Guayaquil,,,Eficacia
3852,1/22/2025,Portal Citas,Cita agendada no aparece reflejada en el calendario del especialista,Paciente,Cuenca,,,Eficacia
1422,1/23/2025,HCE,Historial de alergias no carga al abrir la ficha del paciente,Enfermeria,Ambato,,,Eficacia
1650,1/23/2025,Portal Citas,Usuario no logra agendar tras 5 intentos,Paciente,Ambato,,,Eficacia
1699,1/23/2025,HCE,Consulta anterior no se muestra en el resumen de antecedentes,Enfermeria,Quito,,,Eficacia
2086,1/23/2025,App Movil,Version desactualizada del app impide iniciar sesion,Paciente,Manta,,,Cobertura de contexto
2089,1/23/2025,Portal Citas,"Formulario confuso, abandono de registro antes de completar la cita",Paciente,Guayaquil,,,Satisfacción
2203,1/23/2025,Portal Citas,Filtro de especialidad medica no devuelve resultados,Admision,Quito,,,Eficacia
2337,1/23/2025,HCE,El sistema se congela al adjuntar resultados de laboratorio a la HCE,Medico,Guayaquil,,,Ausencia de riesgo
2500,1/23/2025,Laboratorio,Orden de laboratorio duplicada tras reintentar el envio,Medico,Quito,,,Eficacia
2516,1/23/2025,App Movil,Resultados de examenes no se visualizan en formato PDF,Paciente,Manta,,,Eficacia
2619,1/23/2025,HCE,Receta electronica se genera con la dosis incorrecta tras guardar,Medico,Quito,,,Ausencia de riesgo
2848,1/23/2025,App Movil,Consumo elevado de datos moviles al abrir el modulo de citas,Paciente,Ambato,,,Eficiencia
2920,1/23/2025,Portal Citas,Error al reagendar una cita previamente confirmada,Paciente,Quito,,,Ausencia de riesgo
3844,1/23/2025,HCE,Duplicado de historia clinica al registrar un paciente ya existente,Medico,Ambato,,,Eficacia
1150,1/24/2025,Telemedicina,Calidad de video muy baja pese a tener buena conexion a internet,Medico,Quito,,,Satisfacción
1290,1/24/2025,Portal Citas,Sesion expira antes de finalizar el proceso de agendamiento,Admision,Guayaquil,,,Ausencia de riesgo
1641,1/24/2025,Facturacion,Error de calculo en el copago del seguro medico,Admision,Quito,,,Ausencia de riesgo
1956,1/24/2025,HCE,Receta electronica se genera con la dosis incorrecta tras guardar,Medico,Quito,,,Ausencia de riesgo
2084,1/24/2025,Telemedicina,Audio desincronizado durante la teleconsulta,Paciente,Manta,,,Satisfacción
2127,1/24/2025,Farmacia,Error al registrar la dispensacion de un medicamento controlado,Enfermeria,Quito,,,Ausencia de riesgo
2230,1/24/2025,Farmacia,Error al registrar la dispensacion de un medicamento controlado,Enfermeria,Ambato,,,Ausencia de riesgo
2309,1/24/2025,Farmacia,El sistema no descuenta automaticamente el medicamento dispensado,Farmacia,Quito,,,Eficacia
2385,1/24/2025,HCE,El sistema se congela al adjuntar resultados de laboratorio a la HCE,Medico,Manta,,,Ausencia de riesgo
2531,1/24/2025,HCE,Perdida de la nota de evolucion tras un cierre inesperado de sesion,Medico,Cuenca,,,Eficacia
3418,1/24/2025,Reportes Gerenciales,Discrepancia entre el reporte financiero y el modulo de facturacion,Gerencia,Quito,,,Ausencia de riesgo
3595,1/24/2025,HCE,El sistema se congela al adjuntar resultados de laboratorio a la HCE,Enfermeria,Guayaquil,,,Ausencia de riesgo
1202,1/25/2025,Farmacia,Inventario del sistema no coincide con el stock fisico del insumo,Farmacia,Quito,,,Eficacia
1255,1/25/2025,HCE,Nota de evolucion tarda 28s en guardarse,Enfermeria,Cuenca,,,Eficiencia
1998,1/25/2025,HCE,Duplicado de historia clinica al registrar un paciente ya existente,Enfermeria,Manta,,,Eficacia
2397,1/25/2025,HCE,Perdida de la nota de evolucion tras un cierre inesperado de sesion,Medico,Quito,,,Eficacia
2570,1/25/2025,Facturacion,El sistema no permite anular una factura emitida por error,Admision,Manta,,,Eficacia
2699,1/25/2025,Portal Citas,Boton de confirmar cita no responde en dispositivos moviles,Admision,Cuenca,,,Satisfacción
2703,1/25/2025,HCE,Nota de evolucion tarda 12s en guardarse,Enfermeria,Cuenca,,,Eficiencia
3058,1/25/2025,Facturacion,Error de calculo en el copago del seguro medico,Paciente,Manta,,,Ausencia de riesgo
3315,1/25/2025,HCE,Tiempo de carga de la ficha clinica supera los 24s en horas pico,Enfermeria,Quito,,,Eficiencia
3830,1/25/2025,Facturacion,Factura duplicada al reintentar pago,Admision,Manta,,,Eficacia
3875,1/25/2025,Facturacion,Nota de credito no se aplica al saldo pendiente del paciente,Admision,Quito,,,Eficacia
1467,1/26/2025,Facturacion,Factura generada con el nombre del paciente incorrecto,Admision,Cuenca,,,Eficacia
2436,1/26/2025,HCE,Duplicado de historia clinica al registrar un paciente ya existente,Medico,Quito,,,Eficacia
2631,1/26/2025,Facturacion,Error de calculo en el copago del seguro medico,Paciente,Quito,,,Ausencia de riesgo
2868,1/26/2025,Portal Citas,Notificacion de recordatorio de cita llega con la fecha incorrecta,Paciente,Quito,,,Eficacia
2876,1/26/2025,Laboratorio,Codigo de barras de la muestra no es reconocido por el lector,Enfermeria,Quito,,,Eficacia
2944,1/26/2025,Laboratorio,Orden de laboratorio duplicada tras reintentar el envio,Medico,Cuenca,,,Eficacia
3659,1/26/2025,Telemedicina,Audio desincronizado durante la teleconsulta,Paciente,Quito,,,Satisfacción
3739,1/26/2025,Telemedicina,Paciente no puede unirse a la sala virtual a la hora agendada,Medico,Ambato,,,Eficacia
3761,1/26/2025,HCE,Firma electronica del medico no se valida al cerrar la consulta,Medico,Guayaquil,,,Ausencia de riesgo
1081,1/27/2025,HCE,El campo de diagnostico CIE-10 no permite busqueda por texto,Enfermeria,Manta,,,Eficacia
1129,1/27/2025,Facturacion,Reintento de transaccion genera doble cobro en la tarjeta,Admision,Guayaquil,,,Ausencia de riesgo
1687,1/27/2025,App Movil,El boton de teleconsulta no redirige correctamente a la videollamada,Paciente,Cuenca,,,Eficacia
1846,1/27/2025,Telemedicina,Paciente no puede unirse a la sala virtual a la hora agendada,Medico,Manta,,,Eficacia
2467,1/27/2025,Reportes Gerenciales,Tiempo de generacion del reporte mensual supera los 25 minutos,Gerencia,Cuenca,,,Eficiencia
2992,1/27/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Enfermeria,Guayaquil,,,Eficacia
3158,1/27/2025,Imagenologia,El informe radiologico no se adjunta automaticamente a la HCE,Medico,Quito,,,Eficacia
